ALERTA,MES,ANO,SENSOR,ESTADO,AREAKM2,MUNICIPIO,UC,USO,JURISDICAO
desmatamento,3,2025,Landsat-8,PA,5.17,Itaituba,APA do Tapajós,Uso Sustentável,Federal
desmatamento,3,2025,Landsat-8,PA,1.14,Itaituba,APA do Tapajós,Uso Sustentável,Federal
desmatamento,3,2025,Landsat-8,PA,0.75,Novo Repartimento,APA do Lago de Tucuruí,Uso Sustentável,Estadual
desmatamento,3,2025,Landsat-8,PA,0.39,Itaituba,APA do Tapajós,Uso Sustentável,Federal
desmatamento,3,2025,Landsat-8,MT,0.19,Colniza,RESEX Guariba-Roosevelt,Uso Sustentável,Estadual
desmatamento,3,2025,Landsat-8,PA,0.16,Itaituba,APA do Tapajós,Uso Sustentável,Federal
desmatamento,3,2025,Landsat-8,AC,0.14,Rio Branco,APA do Igarapé São Francisco,Uso Sustentável,Estadual
desmatamento,3,2025,Landsat-8,RO,0.12,Cujubim,RESEX Rio Preto-Jacundá,Uso Sustentável,Estadual
desmatamento,3,2025,Landsat-8,AC,0.12,Feijó,FES Afluente do Complexo do Seringal Jurupari,Uso Sustentável,Estadual
desmatamento,3,2025,Landsat-8,RO,0.11,Porto Velho,RESEX Jaci Paraná,Uso Sustentável,Estadual
desmatamento,3,2025,Landsat-8,PA,0.03,Prainha,RESEX Renascer,Uso Sustentável,Federal
desmatamento,3,2025,Landsat-8,PA,0.03,São Geraldo do Araguaia,APA de São Geraldo do Araguaia,Uso Sustentável,Estadual
desmatamento,3,2025,Landsat-8,PA,0.02,Prainha,RESEX Renascer,Uso Sustentável,Federal
desmatamento,3,2025,Landsat-8,AC,0.01,Feijó,FES Afluente do Complexo do Seringal Jurupari,Uso Sustentável,Estadual
desmatamento,3,2025,Sentinel-2,RO,0.03,Machadinho D'Oeste,RESEX Rio Preto-Jacundá,Uso Sustentável,Estadual
desmatamento,3,2025,Sentinel-2,RO,0.03,Machadinho D'Oeste,RESEX Rio Preto-Jacundá,Uso Sustentável,Estadual
desmatamento,3,2025,Sentinel-2,AC,0.03,Brasiléia,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,2,2023,Sentinel-1,PA,0.05,Itaituba,APA do Tapajós,Uso Sustentável,Federal
desmatamento,2,2023,Sentinel-1,AM,0.04,Maués,ESEC Alto Maués,Proteção Integral,Federal
desmatamento,2,2023,Sentinel-2,MT,0.03,Aripuanã,RESEX Guariba-Roosevelt,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,PA,3.36,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,PA,3.31,Novo Progresso,FLONA do Jamanxim,Uso Sustentável,Federal
desmatamento,2,2023,Sentinel-2,PA,2.62,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,PA,2.41,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,PA,2.01,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,AM,0.14,Canutama,PARNA Mapinguari,Proteção Integral,Federal
desmatamento,2,2023,Sentinel-2,PA,1.46,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,PA,1.37,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,AM,0.08,Apuí,FLONA do Jatuarana,Uso Sustentável,Federal
desmatamento,2,2023,Sentinel-2,MT,0.02,Colniza,PES Tucumã,Proteção Integral,Estadual
desmatamento,2,2023,Sentinel-2,PA,0.59,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,PA,0.50,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,PA,0.49,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,PA,0.45,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,PA,0.33,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,PA,0.32,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,PA,0.30,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,PA,0.27,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,PA,0.25,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,PA,0.24,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,PA,0.22,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,RO,0.18,Machadinho D'Oeste,RESEX Angelim,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,PA,0.09,Jacareacanga,APA do Tapajós,Uso Sustentável,Federal
desmatamento,2,2023,Sentinel-2,PA,0.15,Oriximiná,FLONA de Saracá-Taquera,Uso Sustentável,Federal
desmatamento,2,2023,Sentinel-2,PA,0.15,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,MT,0.14,Colniza,RESEX Guariba-Roosevelt,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,PA,0.14,Trairão,FLONA de Itaituba II,Uso Sustentável,Federal
desmatamento,2,2023,Sentinel-2,MT,0.13,Colniza,ESEC do Rio Roosevelt,Proteção Integral,Estadual
desmatamento,2,2023,Sentinel-2,PA,0.12,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,PA,0.11,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,AC,0.01,Sena Madureira,RESEX do Cazumbá-Iracema,Uso Sustentável,Federal
desmatamento,2,2023,Sentinel-2,PA,0.10,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,PA,0.10,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,PA,0.09,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,AC,0.09,Xapuri,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,2,2023,Sentinel-2,AC,0.09,Rio Branco,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,2,2023,Sentinel-2,PA,0.09,Altamira,ESEC da Terra do Meio,Proteção Integral,Federal
desmatamento,2,2023,Sentinel-2,TO,0.09,Araguacema,APA Leandro (Ilha do Bananal/Cantão),Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,PA,0.08,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,RO,0.08,Candeias do Jamari,ESEC de Samuel,Proteção Integral,Estadual
desmatamento,2,2023,Sentinel-2,AC,0.01,Sena Madureira,RESEX do Cazumbá-Iracema,Uso Sustentável,Federal
desmatamento,2,2023,Sentinel-2,AC,0.07,Brasiléia,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,2,2023,Sentinel-2,PA,0.03,Jacareacanga,APA do Tapajós,Uso Sustentável,Federal
desmatamento,2,2023,Sentinel-2,RO,0.07,Machadinho D'Oeste,RESEX Angelim,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,PA,0.07,Jacareacanga,APA do Tapajós,Uso Sustentável,Federal
desmatamento,2,2023,Sentinel-2,PA,0.06,Itaituba,PARNA do Jamanxim,Proteção Integral,Federal
desmatamento,2,2023,Sentinel-2,RO,0.06,Buritis,RESEX Jaci Paraná,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,AC,0.04,Sena Madureira,RESEX do Cazumbá-Iracema,Uso Sustentável,Federal
desmatamento,2,2023,Sentinel-2,RO,0.04,Machadinho D'Oeste,RESEX Angelim,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,PA,0.04,Jacareacanga,APA do Tapajós,Uso Sustentável,Federal
desmatamento,2,2023,Sentinel-2,PA,0.04,Novo Repartimento,APA do Lago de Tucuruí,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,RO,0.04,Machadinho D'Oeste,RESEX Angelim,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,PA,0.04,Trairão,FLONA de Itaituba II,Uso Sustentável,Federal
desmatamento,2,2023,Sentinel-2,PA,0.03,Jacareacanga,APA do Tapajós,Uso Sustentável,Federal
desmatamento,2,2023,Sentinel-2,AC,0.03,Sena Madureira,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,2,2023,Sentinel-2,PA,0.03,Almeirim,FES do Paru,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,AC,0.03,Manoel Urbano,FES Afluente do Complexo do Seringal Jurupari,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,AC,0.03,Bujari,FES do Antimary,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,AM,0.03,Apuí,FLONA do Jatuarana,Uso Sustentável,Federal
desmatamento,2,2023,Sentinel-2,AC,0.03,Sena Madureira,RESEX do Cazumbá-Iracema,Uso Sustentável,Federal
desmatamento,2,2023,Sentinel-2,RO,0.03,Machadinho D'Oeste,RESEX Angelim,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,AC,0.03,Brasiléia,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,2,2023,Sentinel-2,AC,0.03,Xapuri,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,2,2023,Sentinel-2,RO,0.02,Machadinho D'Oeste,RESEX Angelim,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,AC,0.02,Xapuri,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,2,2023,Sentinel-2,AC,0.02,Xapuri,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,2,2023,Sentinel-2,PA,0.02,Trairão,FLONA de Itaituba II,Uso Sustentável,Federal
desmatamento,2,2023,Sentinel-2,PA,0.01,Almeirim,FES do Paru,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,AC,0.02,Rio Branco,APA do Igarapé São Francisco,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,PA,0.01,Jacareacanga,APA do Tapajós,Uso Sustentável,Federal
desmatamento,2,2023,Sentinel-2,PA,0.01,Oriximiná,FLONA de Saracá-Taquera,Uso Sustentável,Federal
desmatamento,1,2023,Landsat-9,AC,0.09,Brasiléia,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,1,2023,Landsat-9,AC,0.07,Rio Branco,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,1,2023,Landsat-9,AM,0.03,Iranduba,APA Margem Direita do Rio Negro,Uso Sustentável,Estadual
desmatamento,1,2023,Landsat-9,MA,0.03,São Luís,APA Upaon-Açu/Miritiba/Alto Preguiças,Uso Sustentável,Estadual
desmatamento,1,2023,Landsat-8,PA,0.12,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,1,2023,Landsat-8,TO,0.06,Caseara,APA Leandro (Ilha do Bananal/Cantão),Uso Sustentável,Estadual
desmatamento,1,2023,Landsat-8,RO,0.05,Buritis,RESEX Jaci Paraná,Uso Sustentável,Estadual
desmatamento,1,2023,Landsat-8,AM,0.03,Tapauá,RDS Piagaçu-Purus,Uso Sustentável,Estadual
desmatamento,1,2023,Landsat-8,RO,0.03,Itapuã do Oeste,ESEC de Samuel,Proteção Integral,Estadual
desmatamento,1,2023,Landsat-8,MA,0.02,Santa Rita,APA Upaon-Açu/Miritiba/Alto Preguiças,Uso Sustentável,Estadual
desmatamento,1,2023,Landsat-8,MA,0.01,Axixá,APA Upaon-Açu/Miritiba/Alto Preguiças,Uso Sustentável,Estadual
desmatamento,1,2023,Sentinel-2,AM,0.74,Apuí,FLONA do Jatuarana,Uso Sustentável,Federal
desmatamento,1,2023,Sentinel-2,PA,0.54,Novo Progresso,FLONA do Jamanxim,Uso Sustentável,Federal
desmatamento,1,2023,Sentinel-2,PA,0.22,Altamira,RESEX Riozinho do Anfrísio,Uso Sustentável,Federal
desmatamento,1,2023,Sentinel-2,PA,0.15,Altamira,RESEX Riozinho do Anfrísio,Uso Sustentável,Federal
desmatamento,1,2023,Sentinel-2,AC,0.14,Tarauacá,FES do Rio Gregório,Uso Sustentável,Estadual
desmatamento,1,2023,Sentinel-2,PA,0.14,Monte Alegre,APA Paytuna,Uso Sustentável,Estadual
desmatamento,1,2023,Sentinel-2,RO,0.12,Cujubim,RESEX Rio Preto-Jacundá,Uso Sustentável,Estadual
desmatamento,1,2023,Sentinel-2,PA,0.11,Novo Progresso,FLONA do Jamanxim,Uso Sustentável,Federal
desmatamento,1,2023,Sentinel-2,RO,0.10,Cujubim,RESEX Rio Preto-Jacundá,Uso Sustentável,Estadual
desmatamento,1,2023,Sentinel-2,RO,0.10,Machadinho D'Oeste,RESEX Rio Preto-Jacundá,Uso Sustentável,Estadual
desmatamento,1,2023,Sentinel-2,AM,0.09,Apuí,FLONA do Jatuarana,Uso Sustentável,Federal
desmatamento,1,2023,Sentinel-2,RO,0.09,Machadinho D'Oeste,RESEX Rio Preto-Jacundá,Uso Sustentável,Estadual
desmatamento,1,2023,Sentinel-2,RO,0.09,Machadinho D'Oeste,RESEX Rio Preto-Jacundá,Uso Sustentável,Estadual
desmatamento,1,2023,Sentinel-2,TO,0.07,Caseara,APA Leandro (Ilha do Bananal/Cantão),Uso Sustentável,Estadual
desmatamento,1,2023,Sentinel-2,PA,0.07,Prainha,FES do Paru,Uso Sustentável,Estadual
desmatamento,1,2023,Sentinel-2,PA,0.06,Novo Progresso,FLONA do Jamanxim,Uso Sustentável,Federal
desmatamento,1,2023,Sentinel-2,RO,0.05,Machadinho D'Oeste,RESEX Rio Preto-Jacundá,Uso Sustentável,Estadual
desmatamento,1,2023,Sentinel-2,MA,0.05,Pinheiro,APA Baixada Maranhense,Uso Sustentável,Estadual
desmatamento,1,2023,Sentinel-2,MA,0.05,Senador La Rocque,RESEX da Mata Grande,Uso Sustentável,Federal
desmatamento,1,2023,Sentinel-2,RO,0.04,Machadinho D'Oeste,RESEX Rio Preto-Jacundá,Uso Sustentável,Estadual
desmatamento,1,2023,Sentinel-2,AM,0.04,Manaus,APA Margem Esquerda do Rio Negro,Uso Sustentável,Estadual
desmatamento,1,2023,Sentinel-2,AC,0.04,Tarauacá,FES do Rio Gregório,Uso Sustentável,Estadual
desmatamento,1,2023,Sentinel-2,RO,0.04,Machadinho D'Oeste,RESEX Rio Preto-Jacundá,Uso Sustentável,Estadual
desmatamento,1,2023,Sentinel-2,PA,0.04,Monte Alegre,APA Paytuna,Uso Sustentável,Estadual
desmatamento,1,2023,Sentinel-2,PA,0.03,Prainha,FES do Paru,Uso Sustentável,Estadual
desmatamento,1,2023,Sentinel-2,RO,0.03,Porto Velho,RESEX Jaci Paraná,Uso Sustentável,Estadual
desmatamento,1,2023,Sentinel-2,PA,0.03,Prainha,FES do Paru,Uso Sustentável,Estadual
desmatamento,1,2023,Sentinel-2,PA,0.03,Itaituba,APA do Tapajós,Uso Sustentável,Federal
desmatamento,1,2023,Sentinel-2,RO,0.03,Cujubim,RESEX Rio Preto-Jacundá,Uso Sustentável,Estadual
desmatamento,1,2023,Sentinel-2,AC,0.03,Manoel Urbano,PES Chandless,Proteção Integral,Estadual
desmatamento,1,2023,Sentinel-2,AC,0.03,Tarauacá,FES do Rio Gregório,Uso Sustentável,Estadual
desmatamento,1,2023,Sentinel-2,PA,0.03,Prainha,FES do Paru,Uso Sustentável,Estadual
desmatamento,1,2023,Sentinel-2,AC,0.03,Marechal Thaumaturgo,RESEX Alto Juruá,Uso Sustentável,Federal
desmatamento,1,2023,Sentinel-2,TO,0.03,Caseara,APA Leandro (Ilha do Bananal/Cantão),Uso Sustentável,Estadual
desmatamento,1,2023,Sentinel-2,MA,0.02,Presidente Sarney,APA Baixada Maranhense,Uso Sustentável,Estadual
desmatamento,1,2023,Sentinel-2,PA,0.02,São Sebastião da Boa Vista,APA Arquipélago do Marajó,Uso Sustentável,Estadual
desmatamento,1,2023,Sentinel-2,MA,0.02,Presidente Sarney,APA Baixada Maranhense,Uso Sustentável,Estadual
desmatamento,1,2023,Sentinel-2,PA,0.02,Itaituba,APA do Tapajós,Uso Sustentável,Federal
desmatamento,1,2023,Sentinel-2,PA,0.02,São Sebastião da Boa Vista,APA Arquipélago do Marajó,Uso Sustentável,Estadual
desmatamento,1,2023,Sentinel-2,AC,0.02,Rio Branco,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,1,2023,Sentinel-2,MA,0.02,Santa Helena,APA Baixada Maranhense,Uso Sustentável,Estadual
desmatamento,1,2023,Sentinel-2,RO,0.02,Alto Alegre dos Parecis,PES de Corumbiara,Proteção Integral,Estadual
desmatamento,1,2023,Sentinel-2,MA,0.01,Senador La Rocque,RESEX da Mata Grande,Uso Sustentável,Federal
desmatamento,10,2022,Sentinel-1,AM,0.09,Coari,RESEX Catuá-Ipixuna,Uso Sustentável,Estadual
desmatamento,10,2022,Sentinel-1,AM,0.09,Alvarães,FLONA de Tefé,Uso Sustentável,Federal
desmatamento,10,2022,Sentinel-1,PA,0.08,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,10,2022,Sentinel-1,AC,0.08,Assis Brasil,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,10,2022,Sentinel-1,AC,0.06,Brasiléia,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,10,2022,Sentinel-1,AM,0.05,Alvarães,FLONA de Tefé,Uso Sustentável,Federal
desmatamento,10,2022,Sentinel-1,AM,0.05,Tefé,FLONA de Tefé,Uso Sustentável,Federal
desmatamento,10,2022,Sentinel-1,PA,0.04,Portel,FLONA Caxiuanã,Uso Sustentável,Federal
desmatamento,10,2022,Sentinel-1,AM,0.04,Tefé,RESEX Catuá-Ipixuna,Uso Sustentável,Estadual
desmatamento,10,2022,Sentinel-1,AM,0.04,Tefé,FLONA de Tefé,Uso Sustentável,Federal
desmatamento,10,2022,Sentinel-1,AM,0.04,Tefé,RESEX Catuá-Ipixuna,Uso Sustentável,Estadual
desmatamento,10,2022,Sentinel-1,RO,0.04,Nova Mamoré,PES de Guajará-Mirim,Proteção Integral,Estadual
desmatamento,10,2022,Sentinel-1,AC,0.03,Tarauacá,FES do Rio Gregório,Uso Sustentável,Estadual
desmatamento,10,2022,Sentinel-1,AM,0.03,Alvarães,FLONA de Tefé,Uso Sustentável,Federal
desmatamento,10,2022,Sentinel-1,AM,0.03,Maraã,RDS Amanã,Uso Sustentável,Estadual
desmatamento,10,2022,Sentinel-1,PA,0.03,Portel,FLONA Caxiuanã,Uso Sustentável,Federal
desmatamento,10,2022,Sentinel-1,PA,0.03,Prainha,RESEX Renascer,Uso Sustentável,Federal
desmatamento,10,2022,Sentinel-1,PA,0.02,Prainha,RESEX Renascer,Uso Sustentável,Federal
desmatamento,10,2022,Sentinel-1,PA,0.02,Prainha,RESEX Renascer,Uso Sustentável,Federal
desmatamento,10,2022,Sentinel-1,AM,0.02,Tefé,RESEX Catuá-Ipixuna,Uso Sustentável,Estadual
desmatamento,10,2022,Landsat-9,PA,0.92,Prainha,FES do Paru,Uso Sustentável,Estadual
desmatamento,10,2022,Landsat-9,RO,0.25,Cujubim,RESEX Rio Preto-Jacundá,Uso Sustentável,Estadual
desmatamento,10,2022,Landsat-9,PA,0.24,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,10,2022,Landsat-9,AC,0.21,Xapuri,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,10,2022,Landsat-9,PA,0.21,Prainha,FES do Paru,Uso Sustentável,Estadual
desmatamento,10,2022,Landsat-9,PA,0.01,Almeirim,FES do Paru,Uso Sustentável,Estadual
desmatamento,10,2022,Landsat-9,AC,0.13,Rio Branco,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,10,2022,Landsat-9,AC,0.10,Rio Branco,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,10,2022,Landsat-9,PA,0.10,Porto de Moz,RESEX Verde para Sempre,Uso Sustentável,Federal
desmatamento,10,2022,Landsat-9,RO,0.09,Cujubim,FERS Periquito,Uso Sustentável,Estadual
desmatamento,10,2022,Landsat-9,RO,0.08,Nova Mamoré,PES de Guajará-Mirim,Proteção Integral,Estadual
desmatamento,10,2022,Landsat-9,AM,0.09,Presidente Figueiredo,APA Caverna do Maroaga (Presidente Figueiredo),Uso Sustentável,Estadual
desmatamento,10,2022,Landsat-9,PA,0.08,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,10,2022,Landsat-9,PA,0.08,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,10,2022,Landsat-9,AC,0.07,Xapuri,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,10,2022,Landsat-9,PA,0.08,Prainha,FES do Paru,Uso Sustentável,Estadual
desmatamento,10,2022,Landsat-9,AC,0.07,Xapuri,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,10,2022,Landsat-9,PA,0.07,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,10,2022,Landsat-9,AC,0.05,Xapuri,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,10,2022,Landsat-9,AC,0.07,Xapuri,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,10,2022,Landsat-9,PA,0.06,Porto de Moz,RESEX Verde para Sempre,Uso Sustentável,Federal
desmatamento,10,2022,Landsat-9,RO,0.06,Cujubim,RESEX Angelim,Uso Sustentável,Estadual
desmatamento,10,2022,Landsat-9,AC,0.06,Marechal Thaumaturgo,RESEX Alto Juruá,Uso Sustentável,Federal
desmatamento,10,2022,Landsat-9,PA,0.05,Altamira,ESEC da Terra do Meio,Proteção Integral,Federal
desmatamento,10,2022,Landsat-9,AC,0.05,Xapuri,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,10,2022,Landsat-9,AC,0.05,Xapuri,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,10,2022,Landsat-9,AM,0.05,Tefé,FLONA de Tefé,Uso Sustentável,Federal
desmatamento,10,2022,Landsat-9,AC,0.05,Xapuri,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,10,2022,Landsat-9,AC,0.05,Rio Branco,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,10,2022,Landsat-9,AC,0.05,Rio Branco,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,10,2022,Landsat-9,AC,0.05,Xapuri,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,10,2022,Landsat-9,RO,0.05,Machadinho D'Oeste,RESEX Angelim,Uso Sustentável,Estadual
desmatamento,10,2022,Landsat-9,AC,0.05,Rio Branco,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,10,2022,Landsat-9,AM,0.04,Tefé,FLONA de Tefé,Uso Sustentável,Federal
desmatamento,10,2022,Landsat-9,AM,0.04,Lábrea,FLONA do Iquiri,Uso Sustentável,Federal
desmatamento,10,2022,Landsat-9,AC,0.03,Mâncio Lima,ARIE Japiim-Pentecoste,Uso Sustentável,Estadual
desmatamento,10,2022,Landsat-9,AC,0.02,Cruzeiro do Sul,ARIE Japiim-Pentecoste,Uso Sustentável,Estadual
desmatamento,10,2022,Landsat-9,PA,0.04,Prainha,FES do Paru,Uso Sustentável,Estadual
desmatamento,10,2022,Landsat-9,AC,0.04,Rio Branco,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,10,2022,Landsat-9,AM,0.04,Pauini,FLONA do Purus,Uso Sustentável,Federal
desmatamento,10,2022,Landsat-9,AM,0.04,Boca do Acre,FLONA Mapiá-Inauini,Uso Sustentável,Federal
desmatamento,10,2022,Landsat-9,RO,0.04,Nova Mamoré,RESEX Jaci Paraná,Uso Sustentável,Estadual
desmatamento,10,2022,Landsat-9,AC,0.04,Rio Branco,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,10,2022,Landsat-9,RO,0.04,Cujubim,FERS Tucano,Uso Sustentável,Estadual
desmatamento,10,2022,Landsat-9,PA,0.04,Prainha,FES do Paru,Uso Sustentável,Estadual
desmatamento,10,2022,Landsat-9,AC,0.03,Marechal Thaumaturgo,RESEX Alto Juruá,Uso Sustentável,Federal
desmatamento,10,2022,Landsat-9,PA,0.03,Porto de Moz,RESEX Verde para Sempre,Uso Sustentável,Federal
desmatamento,10,2022,Landsat-9,AC,0.03,Tarauacá,FES do Rio Liberdade,Uso Sustentável,Estadual
desmatamento,10,2022,Landsat-9,PA,0.03,Porto de Moz,RESEX Verde para Sempre,Uso Sustentável,Federal
desmatamento,10,2022,Landsat-9,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,10,2022,Landsat-9,AC,0.03,Xapuri,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,10,2022,Landsat-9,RO,0.03,Nova Mamoré,RESEX Jaci Paraná,Uso Sustentável,Estadual
desmatamento,10,2022,Landsat-9,AC,0.03,Xapuri,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,10,2022,Landsat-9,AM,0.03,Tefé,RESEX Catuá-Ipixuna,Uso Sustentável,Estadual
desmatamento,10,2022,Landsat-9,AC,0.03,Sena Madureira,RESEX do Cazumbá-Iracema,Uso Sustentável,Federal
desmatamento,10,2022,Landsat-9,AC,0.03,Xapuri,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,10,2022,Landsat-9,PA,0.03,Porto de Moz,RESEX Verde para Sempre,Uso Sustentável,Federal
desmatamento,10,2022,Landsat-9,AC,0.02,Rio Branco,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,10,2022,Landsat-9,AC,0.03,Xapuri,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,10,2022,Landsat-9,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,10,2022,Landsat-9,AC,0.03,Xapuri,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,10,2022,Landsat-9,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,10,2022,Landsat-9,AC,0.03,Tarauacá,FES do Rio Liberdade,Uso Sustentável,Estadual
desmatamento,10,2022,Landsat-9,AC,0.03,Rio Branco,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,10,2022,Landsat-9,AC,0.03,Sena Madureira,FES do Antimary,Uso Sustentável,Estadual
desmatamento,10,2022,Landsat-9,AM,0.03,Tefé,FLONA de Tefé,Uso Sustentável,Federal
desmatamento,10,2022,Landsat-9,AC,0.03,Rio Branco,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,10,2022,Landsat-9,PA,0.03,Almeirim,FES do Paru,Uso Sustentável,Estadual
desmatamento,10,2022,Landsat-9,PA,0.03,Altamira,ESEC da Terra do Meio,Proteção Integral,Federal
desmatamento,10,2022,Landsat-9,AC,0.03,Bujari,FES do Antimary,Uso Sustentável,Estadual
